Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2026,Aaron Judge,NYY,35,155,125,34,15,5,0,14,32,27,27,3,42,2,0,0,3,5,2,.272
2026,Jung Hoo Lee,SFG,35,137,125,34,23,8,1,2,14,11,10,0,18,0,2,0,3,0,0,.272
2026,Bryce Harper,PHI,35,149,129,35,18,9,1,7,19,20,19,1,25,0,1,0,4,2,1,.271
2026,Willson Contreras,BOS,34,147,122,33,22,4,0,7,17,21,16,0,41,7,2,0,3,1,0,.270
2026,Dominic Canzone,SEA,30,83,74,20,10,7,0,3,11,12,7,0,19,1,1,0,0,1,1,.270
2026,Heliot Ramos,SFG,34,134,126,34,22,8,1,3,12,15,7,1,38,0,1,0,1,0,0,.270
2026,Jo Adell,LAA,36,154,145,39,33,2,0,4,14,20,4,0,33,4,1,0,5,2,0,.269
2026,Alec Burleson,STL,34,152,134,36,22,9,0,5,18,28,17,2,23,0,1,0,4,1,0,.269
2026,Jonathan Aranda,TBR,34,146,123,33,22,4,0,7,18,28,19,1,36,1,3,0,1,0,0,.268
2026,Julio Rodríguez,SEA,36,157,142,38,27,7,0,4,17,16,13,1,34,2,0,0,2,3,1,.268
2026,Isaac Paredes,HOU,31,130,113,30,21,6,0,3,16,15,13,0,21,4,0,0,3,0,0,.265
2026,Nick Fortes,TBR,28,92,87,23,17,5,0,1,5,8,2,0,12,3,0,0,4,0,0,.264
2026,Oneil Cruz,PIT,33,152,140,37,22,6,0,9,25,28,11,2,53,1,0,0,1,11,2,.264
2026,Chase Meidroth,CHW,33,144,125,33,25,7,0,1,21,4,15,0,34,0,1,2,3,1,0,.264
2026,Xander Bogaerts,SDP,33,137,122,32,25,2,0,5,15,18,15,0,21,0,0,0,2,4,0,.262
2026,Konnor Griffin,PIT,28,114,103,27,19,4,2,2,13,16,8,0,31,2,1,0,1,7,0,.262
2026,Maikel Garcia,KCR,33,145,130,34,21,9,1,3,18,13,13,0,24,0,2,0,2,4,2,.262
2026,Ceddanne Rafaela,BOS,33,122,111,29,22,4,2,1,13,10,6,0,27,5,0,0,5,1,3,.261
2026,Brayan Rocchio,CLE,35,130,115,30,23,4,0,3,14,19,11,0,12,2,0,2,2,3,2,.261
2026,Jorbit Vivas,WSN,28,82,69,18,15,3,0,0,12,3,6,0,10,4,1,2,3,0,1,.261
2026,José Caballero,NYY,34,128,119,31,21,6,0,4,16,13,6,0,27,3,0,0,6,13,4,.261
2026,Justin Crawford,PHI,30,110,100,26,18,6,2,0,8,7,8,0,21,2,0,0,0,3,2,.260
2026,TJ Rumfield,COL,36,144,131,34,23,6,1,4,12,19,11,0,23,1,1,0,1,0,0,.260
2026,Jeremiah Jackson,BAL,31,116,112,29,20,3,0,6,10,24,2,0,26,1,1,0,7,1,1,.259
2026,Gleyber Torres,DET,32,144,116,30,26,2,0,2,18,11,25,0,22,1,2,0,2,0,0,.259
2026,Andrés Giménez,TOR,32,123,116,30,20,6,1,3,9,16,4,0,18,1,1,1,4,4,0,.259
2026,Mauricio Dubón,ATL,34,135,124,32,20,8,2,2,17,18,9,0,22,2,0,0,2,0,2,.258
2026,Bryan Reynolds,PIT,35,156,124,32,21,5,2,4,26,22,29,2,42,2,1,0,1,1,0,.258
2026,Junior Caminero,TBR,34,147,128,33,21,3,0,9,21,16,18,1,26,0,1,0,3,0,2,.258
2026,Cole Young,SEA,36,142,128,33,25,4,1,3,20,19,11,0,33,2,1,0,1,2,2,.258
2026,Jac Caglianone,KCR,31,114,101,26,16,5,1,4,14,8,11,0,35,2,0,0,1,0,1,.257
2026,Dillon Dingler,DET,30,118,105,27,14,7,0,6,12,25,7,0,20,4,0,0,5,0,0,.257
2026,Javier Báez,DET,24,82,78,20,13,5,0,2,10,6,2,0,16,1,1,0,2,1,1,.256
2026,Iván Herrera,STL,35,161,125,32,19,9,0,4,21,17,27,4,27,8,1,0,3,1,0,.256
2026,Alex Freeland,LAD,29,97,86,22,16,4,0,2,10,7,8,0,27,0,1,2,2,0,0,.256
2026,Nolan Schanuel,LAA,33,142,129,33,22,8,0,3,11,19,10,0,22,1,2,0,8,0,1,.256
2026,Giancarlo Stanton,NYY,24,96,90,23,14,6,0,3,8,14,6,0,29,0,0,0,2,1,0,.256
2026,Marcelo Mayer,BOS,30,101,90,23,16,6,0,1,7,8,7,0,18,2,1,0,4,2,0,.256
2026,Ben Williamson,TBR,30,100,90,23,17,5,1,0,14,10,9,0,20,0,0,1,3,3,0,.256
2026,Spencer Steer,CIN,33,124,110,28,17,6,0,5,13,11,10,0,31,3,1,0,2,1,0,.255
