ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
140,Kyle Freeland*,33,COL,NL,20.2,.231,.310,.333,.644,.271,2.3,19.5,5.7,89.1,41.7,23.0,45.9,23.0,0.85,0.2,0.0%,2.52,
141,Mick Abel,24,MIN,AL,20.1,.275,.376,.350,.726,.386,0.0,24.7,10.8,85.6,40.4,28.1,36.8,24.6,0.62,-0.2,0.0%,0.90,
142,Ryan Feltner,29,COL,NL,20.0,.275,.341,.563,.903,.293,5.7,19.3,9.1,89.5,49.2,20.6,42.9,33.3,0.75,-0.5,-0.2%,-4.73,
143,Kodai Senga,33,NYM,NL,20.0,.313,.412,.542,.955,.382,5.2,23.7,13.4,88.1,40.0,31.7,30.0,31.7,0.44,-1.1,-0.7%,-10.96,
144,Yohan Ramírez,31,PIT,NL,19.2,.186,.296,.314,.611,.255,1.2,27.2,12.3,83.4,31.3,20.8,45.8,25.0,0.88,0.9,0.6%,8.21,
145,Jesse Scholtens,32,TBR,AL,19.2,.216,.293,.392,.685,.241,2.4,17.1,7.3,86.4,35.0,23.3,41.7,23.3,0.71,0.1,-0.1%,3.03,
146,Antonio Senzatela,31,COL,NL,19.2,.136,.197,.152,.349,.191,0.0,26.8,7.0,87.7,36.2,21.3,46.8,27.7,0.88,1.0,0.5%,8.35,
147,Kai-Wei Teng,27,HOU,AL,19.2,.197,.260,.352,.612,.220,3.9,23.4,7.8,90.1,39.6,26.4,39.6,26.4,0.68,0.1,0.0%,3.86,
148,Patrick Corbin*,36,TOR,AL,19.1,.265,.333,.397,.730,.308,2.5,20.3,7.6,88.7,41.8,29.1,41.8,21.8,0.74,0.1,0.0%,1.85,
149,Luis Gil,28,NYY,AL,19.1,.211,.341,.507,.848,.161,7.1,10.6,12.9,92.2,46.8,14.5,45.2,32.3,0.85,-0.3,-0.1%,-3.37,
150,Tobias Myers,27,NYM,NL,19.1,.176,.211,.279,.491,.200,2.8,22.5,4.2,89.0,38.5,21.2,48.1,21.2,0.93,0.4,0.2%,5.06,
151,Javier Assad,28,CHC,NL,19.0,.289,.337,.474,.811,.302,3.6,13.1,7.1,90.0,52.2,20.9,47.8,23.9,0.94,0.1,0.0%,-6.99,
152,Brent Suter*,36,LAA,AL,19.0,.239,.320,.478,.798,.283,4.0,24.0,10.7,84.8,31.3,14.3,53.1,22.4,1.18,-0.4,-0.2%,2.26,
153,Jovani Morán*,29,BOS,AL,18.2,.156,.276,.297,.573,.170,2.6,21.1,13.2,85.4,27.1,16.3,34.7,38.8,0.55,-0.1,0.0%,2.74,
154,Max Scherzer,41,TOR,AL,18.2,.297,.369,.608,.977,.259,8.3,11.9,9.5,89.1,38.5,24.6,27.7,29.2,0.38,-0.6,-0.3%,-8.98,
155,Aaron Ashby*,28,MIL,NL,18.1,.217,.325,.304,.629,.368,1.3,37.5,13.8,89.9,43.6,20.5,53.8,23.1,1.17,0.2,0.1%,2.26,
156,AJ Blubaugh,25,HOU,AL,18.1,.239,.333,.448,.781,.250,3.7,18.3,13.4,88.2,37.5,19.6,30.4,37.5,0.47,-0.1,0.0%,-0.50,
157,Tyler Phillips,28,MIA,NL,18.1,.194,.325,.284,.609,.255,1.3,23.8,15.0,91.0,45.8,25.0,41.7,31.3,0.71,0.0,0.0%,4.19,
158,Jose Quintana*,37,COL,NL,18.1,.254,.346,.478,.823,.228,4.9,11.0,13.4,87.2,33.9,21.0,30.6,33.9,0.45,-0.2,-0.1%,-2.78,
159,Spencer Arrighetti,26,HOU,AL,18.0,.169,.308,.277,.585,.233,1.3,26.9,11.5,88.6,34.1,29.5,34.1,31.8,0.52,0.5,0.2%,5.07,
160,Matthew Boyd*,35,CHC,NL,18.0,.288,.333,.397,.731,.435,1.3,33.3,6.4,90.3,51.1,31.9,42.6,21.3,0.74,-0.5,-0.2%,-3.22,
161,Tim Mayza*,34,PHI,NL,18.0,.179,.267,.284,.550,.213,2.7,24.0,9.3,90.1,44.9,20.4,53.1,26.5,1.13,-0.4,-0.2%,0.75,
162,Sean Newcomb*,33,CHW,AL,18.0,.282,.354,.423,.777,.370,0.0,21.3,10.0,84.0,34.5,21.8,56.4,14.5,1.35,0.5,0.3%,1.40,
163,Connor Phillips,25,CIN,NL,17.2,.150,.346,.250,.596,.200,1.3,24.4,19.2,88.7,34.1,29.3,19.5,39.0,0.24,0.9,0.5%,5.11,
164,Ryan Watson,28,BOS,AL,17.2,.301,.378,.466,.844,.322,3.6,13.3,8.4,88.9,43.5,25.4,41.3,20.6,0.72,0.2,0.1%,-2.23,
165,Zach Agnos,25,COL,NL,17.1,.300,.359,.471,.830,.358,2.5,20.3,8.9,84.5,33.9,23.2,42.9,28.6,0.77,-0.3,-0.2%,-2.68,
166,Yoendrys Gómez,26,TBR,AL,17.1,.275,.370,.522,.892,.269,6.1,15.9,12.2,87.1,39.7,22.4,19.0,34.5,0.24,0.2,0.1%,-5.53,
167,Gordon Graceffo,26,STL,NL,17.1,.130,.242,.130,.372,.156,0.0,14.5,9.7,92.3,51.1,17.8,53.3,26.7,1.14,1.0,0.5%,7.66,
168,Drew Anderson,32,DET,AL,17.0,.222,.329,.429,.757,.268,4.1,25.7,12.2,89.5,43.2,17.8,46.7,22.2,0.91,0.1,0.2%,0.49,
169,Braydon Fisher,25,TOR,AL,17.0,.214,.302,.339,.641,.282,1.6,25.4,9.5,88.1,37.5,30.0,35.0,27.5,0.54,0.5,0.3%,5.32,
170,Hogan Harris*,29,ATH,AL,17.0,.177,.346,.306,.653,.209,2.6,21.8,19.2,84.5,22.2,13.3,44.4,22.2,0.83,0.5,0.4%,1.26,
171,Tyler Wells,31,BAL,AL,17.0,.242,.294,.435,.730,.295,2.9,24.6,5.8,86.6,31.9,29.8,19.1,27.7,0.25,0.0,0.0%,2.05,
172,Shaun Anderson,31,LAA,AL,16.2,.270,.361,.429,.790,.292,4.1,16.4,11.0,85.9,36.5,25.0,46.2,19.2,0.89,-0.1,-0.1%,-2.44,
173,Jacob Latz*,30,TEX,AL,16.2,.089,.136,.179,.314,.098,1.7,23.7,5.1,90.1,45.2,7.1,42.9,33.3,0.75,-0.4,-0.1%,2.98,
