pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
25,680702,"Gerber, Joey",47,53.2,0.25,0,1,0.25,0.322,0.321,0.23,1,4,94.7,14,2330,91,91.59,4,13,12,0.5999999999999943,6.49,106,152,130,149,291,324,292,0.06,-0.06,68.2,7.3,5,1,1,0,0,0,3,60,1,20,1.6104,1.1364,0.2208,0.2208,88.8,187,0,0,0,5.14,-2.06,0.15,2.58,0.4,0,-0.24,0.384,0.285,0.24,0.02,0.016000000000000014,-0.035,0.001,30.8,32.1,4.495664767928106,3.4491036598592473,35.36535078529321,0.3076923076923077,39.11349460506965,25.069625031730148
24,660604,"Rangel, Alan",44,54.5,0.143,0,0.2,0.143,0.129,0.282,0.301,1,7,90,32.4,2170,84.6,84.48,4,12,12,-0.09999999999999432,6.48,97,151,121,145,295,322,300,1.129,-1.129,68.4,7.3,7,5,1,0,0,0,2,28.6,0,0,2.60375,0.705,0.3175,0.3175,90.6,137,20,0,0,6.1,0.37,0.22,2.13,0.143,0,-4.704166667,0.301,0.341,4.704166667,-0.158,-0.158,-0.198,-0.153,33.3,68.5,10.725963513464187,-5.04538763461966,32.969868427050514,0.5,35.78759118962998,30.39020576345962
24,694346,"Gibson, Trey",87,27.6,0.2,0.6,0,0.8,0.464,0.512,0.302,1,5,93.8,-3.8,2198,89.3,90.59,2,14,10,1.2999999999999972,7.06,113,154,126,147,301,320,286,-1.279,1.279,70.9,7.6,6,5,0,0,0,1,0,0,1,16.7,2.89583,-0.02833,-0.08458,-0.08458,94.7,143,60,20,16.666666666666664,5.7,-2.56,-0.2,2.11,0.333,1,5.329166667,0.418,0.839,-5.329166667,-0.102,-0.08499999999999996,-0.039,-0.048,14.3,37.0,7.381631224950082,0.3428205924681875,37.12283636757986,0.5714285714285714,39.55321370384223,26.195889440789703
24,690155,"Pushard, Matt",31,77.4,0.5,0,0.667,0.5,0.503,0.408,0.353,2,4,78.6,28.3,2315,90.5,90.82,1,9,15,0.29999999999999716,6.46,90,135,102,131,302,324,293,-0.89,0.89,66.4,6.9,5,3,2,0,0,0,1,20,1,20,1.97292,0.82875,0.00083,0.00083,90.0,140,33.33333333333333,0,0,6.19,-1.65,0.58,2.46,0.6,0,3.708333333,0.482,0.405,-3.708333333,0.147,0.118,0.095,0.095,11.1,40.6,-1.3083738028966803,-3.5248361132188686,24.590940214580275,0.5555555555555556,41.863276187830806,28.863133075576528
24,686930,"Barnett, Mason",43,55.8,0,0,0,0,0.142,0.235,0.104,0,4,88.8,0.7,2432,91,90.48,2,11,13,-0.5,6.07,114,150,120,149,312,321,295,0.591,-0.591,68.0,7.0,5,3,0,0,0,0,1,20,1,20,2.33125,0.44875,-0.48208,-0.48208,90.0,133,33.33333333333333,0,0,6.08,-2.12,0.51,2.46,0.2,0,-2.4625,0.283,0.165,2.4625,-0.104,-0.08299999999999996,-0.165,-0.093,18.2,56.5,10.433063371190919,8.996204135243428,28.394814080143654,0.5454545454545454,38.63630773883158,26.502887609855197
23,664074,"Ponce, Cody",47,48.9,0,0,0,0,0.177,0.263,0.122,0,3,86,25,2211,89.5,89.97,8,12,11,0.5,6.66,111,154,119,150,294,324,284,0.359,-0.359,73.9,8.1,4,2,0,0,0,0,1,25,1,25,2.3,0.56304,0.15304,0.15304,88.5,92,0,0,0,6.53,-2.51,0.87,1.51,0.25,0,-1.560869565,0.341,0.15,1.560869565,-0.122,-0.09100000000000003,-0.15,-0.086,66.7,45.2,18.323052866202598,-17.15736020305242,30.810502555190258,0.5454545454545454,42.45713528499843,40.52918722356788
23,682274,"Hiraldo, Yaramil",47,48.9,0.75,1.5,1,2.25,1.079,0.717,0.492,3,4,89.2,26.7,2120,88.1,87.74,4,10,13,-0.3999999999999915,6.11,95,149,121,142,306,322,294,-3.672,3.672,71.7,8.1,6,3,1,0,0,2,1,16.7,2,33.3,2.35696,0.5987,0.07217,0.07217,95.7,191,66.66666666666666,66.66666666666666,33.33333333333333,6.21,-0.53,-0.07,1.61,0.833,2,15.965217391,0.661,1.24,-15.965217391,0.258,0.17199999999999993,1.01,0.362,40,62.6,18.50992492834877,-21.690706032234168,29.15920323200091,0.4,35.79367206444737,38.46994337266761
23,681151,"Murray, Jayden",110,20.9,0.6,0,0.6,0.6,0.569,0.324,0.249,3,5,92.6,5.2,2377,91.4,90.91,2,10,13,-0.5,6.17,110,151,123,148,301,331,290,-0.899,0.899,68.3,7.5,6,5,3,0,0,0,0,0,1,16.7,2.10391,0.68348,0.29913,0.29913,90.9,174,20,0,0,5.74,-2.08,0.46,2.43,0.667,0,3.908695652,0.374,0.336,-3.908695652,0.351,0.29300000000000004,0.264,0.245,20,30.1,7.629782298341581,0.6252437857070117,32.00523657219797,0.3333333333333333,37.35942795029206,28.19223946225054
23,678020,"Halvorsen, Seth",34,67.6,0,0,0,0,0,0.255,0.27,0,6,95,2.8,2300,94.3,95.41,3,15,8,1.1000000000000085,6.89,102,153,123,148,311,337,293,1.544,-1.544,67.8,7.2,6,4,0,0,0,0,2,33.3,0,0,1.81652,0.77522,0.44652,0.44652,92.3,180,50,0,0,6.05,-2.12,0.29,2.31,0,0,-6.713043478,0.27,0.325,6.713043478,-0.27,-0.27,-0.325,-0.255,20,48.6,5.7209071529138145,1.2654480019762073,33.89138803258612,0.26666666666666666,38.133534627844604,27.44343881717621
22,687209,"Maxwell, Zach",42,52.4,1,2,1,3,1.442,1.117,0.81,3,3,104.3,20.7,2591,93.2,92.95,1,11,11,-0.29999999999999716,6.19,95,151,118,147,312,318,285,-3.377,3.377,71.5,7.1,4,3,1,0,0,2,0,0,1,25,1.76818,0.89273,0.00682,0.00682,94.7,219,100,66.66666666666666,50,6.21,-2.21,0.22,2.13,1,2,15.35,0.858,2.211,-15.35,0.19,0.14200000000000002,0.789,0.325,9.1,38.0,6.589742196158684,-1.8515748988351914,28.806262295066812,0.5454545454545454,36.489892681508394,26.32310024156942
22,690928,"Dobbins, Hunter",79,27.8,0,0,0,0,0.118,0.2,0.099,0,5,93.8,-4.3,2339,89.2,89.45,5,10,12,0.29999999999999716,6.37,106,150,114,144,310,317,290,1.135,-1.135,69.3,7.3,6,3,0,0,0,0,2,33.3,1,16.7,2.42591,0.46409,-0.08909,-0.08909,92.6,107,33.33333333333333,0,0,5.82,-0.79,0.12,1.88,0.167,0,-5.159090909,0.249,0.134,5.159090909,-0.099,-0.08199999999999999,-0.134,-0.082,50,44.0,6.215725591805237,0.6338960507959146,35.350824675157014,0.5,38.74358942300498,26.34509491849308
22,699151,"Paez, Jedixson",65,33.8,0.2,0,0.2,0.2,0.181,0.358,0.292,1,5,94.7,25.2,2451,87.7,87.87,0,8,14,0.20000000000000284,6.79,100,147,124,142,310,318,293,0.639,-0.639,75.1,7.2,5,5,1,0,0,0,0,0,0,0,2.36909,0.67409,0.50318,0.50318,92.2,171,40,20,20,5.62,-3.14,0.19,2.78,0.2,1,-2.904545455,0.292,0.554,2.904545455,-0.092,-0.09199999999999997,-0.354,-0.177,0,37.0,8.676530436702727,-3.560791403724843,24.03865774920164,0.75,40.94332824953257,31.820234571412854
20,683000,"Cornelio, Riley",42,47.6,0.5,0,1,0.5,0.58,0.394,0.088,1,2,57.6,14,2388,93.2,93.72,1,4,16,0.5,6.65,99,144,96,147,311,316,293,-0.713,0.713,67.3,7.0,4,1,1,0,0,0,1,25,2,50,1.6035,1.048,0.5415,0.5415,88.0,197,0,0,0,5.93,-2.23,0.34,2.34,0.75,0,3.565,0.544,0.106,-3.565,0.412,0.20599999999999996,0.394,0.186,25,44.1,4.721758020103453,10.439075501951269,34.55340737706376,0.25,40.19645735920491,27.39956649477081
19,624431,"Trevino, Jose",59,32.2,0.5,0,0.667,0.5,0.451,0.324,0.355,2,4,83.6,22,113,55.6,53,1,7,12,-2.6000000000000014,4.36,110,151,117,143,302,316,287,-0.64,0.64,75.6,7.2,4,3,2,0,0,0,1,25,0,0,7.27263,0.38421,-0.01579,-0.01579,91.4,138,33.33333333333333,0,0,6.37,-2.24,-0.04,2.19,0.5,0,3.368421053,0.355,0.384,-3.368421053,0.145,0.14500000000000002,0.116,0.127,14.3,43.1,12.391433865417383,-15.880071340254023,30.96729425492699,0.4,37.32265074994152,39.99424681862341
19,695445,"Lee, Chase",21,90.5,0.25,0.75,0,1,0.519,0.333,0.298,1,4,83.7,33.3,2595,86.8,86.31,2,8,11,-0.5,6.08,107,152,117,149,296,316,279,-1.811,1.811,66.7,6.7,4,3,0,0,0,1,1,25,0,0,2.83684,0.23158,-0.12526,-0.12526,91.8,248,33.33333333333333,33.33333333333333,25,3.9,-2.65,0.2,2.47,0.25,1,9.531578947,0.298,0.477,-9.531578947,-0.048,-0.04799999999999999,0.523,0.186,25,-1.8,4.136348701024007,8.666456408732017,26.453481683723467,0.625,41.22805120254154,24.827960101569676
18,676742,"Sanders, Cam",57,31.6,0.4,0.2,0.5,0.6,0.436,0.202,0.176,2,5,87.6,28.5,2544,91,90.72,0,9,9,-0.29999999999999716,6.09,107,146,113,148,296,314,298,-0.466,0.466,65.5,6.7,5,4,1,1,0,0,1,20,0,0,2.35833,0.40556,0.23444,0.23444,91.1,162,25,25,20,6.04,-3,-0.01,2.35,0.4,1,2.588888889,0.176,0.299,-2.588888889,0.224,0.22400000000000003,0.301,0.234,0,33.3,6.224152860026538,12.366531987322091,26.355470026494533,0.4444444444444444,33.662856979363674,28.20545408738637
17,592826,"Velasquez, Vince",31,54.8,0.333,0.333,0.333,0.667,0.426,0.148,0.162,1,3,76.6,38.3,2505,89,89.31,1,8,9,0.29999999999999716,6.53,111,153,119,150,303,311,288,-0.099,0.099,68.5,7.7,3,3,0,1,0,0,0,0,0,0,1.90882,0.99412,-0.00706,-0.00706,88.0,177,0,0,0,5.55,-2.1,0.26,1.87,0.333,0,0.582352941,0.162,0.168,-0.582352941,0.171,0.171,0.499,0.278,12.5,45.1,13.239052823329462,-10.951300335642603,34.188435885344695,0.625,38.35867002496346,38.237784645765736
16,682825,"Mey, Luis",59,27.1,0.2,0.6,0,0.8,0.416,0.346,0.205,1,5,101.3,25,2357,90.2,90.61,4,10,6,0.3999999999999915,6.68,89,152,115,148,307,318,287,-0.527,0.527,71.1,7.0,5,2,0,0,0,1,3,60,0,0,2.3425,0.5,-0.23375,-0.23375,94.7,279,100,50,20,5.57,-2.1,0.16,1.97,0.2,1,3.29375,0.205,0.64,-3.29375,-0.005,-0.004999999999999977,0.16,0.07,40,33.5,4.495581533191592,3.9188477485693642,32.521558390365676,0.5,36.16572757329517,26.701355854518244
16,675911,"Strider, Spencer",87,18.4,0.25,0,0.333,0.25,0.226,0.182,0.192,1,4,83.6,6.3,2326,90.2,91.46,3,10,6,1.2999999999999972,6.67,100,151,123,148,315,338,304,0.366,-0.366,74.1,7.6,4,3,1,0,0,0,1,25,0,0,2.05125,0.75125,0.21687,0.21687,90.4,190,33.33333333333333,0,0,5.81,-1.75,0.22,2.26,0.25,0,-2.2875,0.192,0.223,2.2875,0.058,0.057999999999999996,0.027,0.044,30,46.1,11.128776246061951,-7.396197337827521,28.677808428452842,0.4,39.31522721799142,35.42781681967784
16,691548,"Muñoz, Rolddy",49,32.7,0.5,0.5,0.5,1,0.647,0.47,0.345,3,6,91.7,-16.8,2309,90.6,90.26,2,8,8,-0.29999999999999716,6,97,151,125,147,314,322,297,-1.505,1.505,71.9,7.4,6,5,2,0,0,1,1,16.7,0,0,2.64938,0.13625,0.47187,0.47187,95.9,121,60,20,16.666666666666664,5.78,-2.31,-0.19,1.82,0.5,1,9.40625,0.345,0.771,-9.40625,0.155,0.15500000000000003,0.229,0.177,25,31.2,12.163411993739711,-0.6472650384684853,32.92449630166645,0.25,35.89772059486427,30.336723995797747
16,669920,"Alexander, Jason",32,50,0.25,0.75,0,1,0.582,0.436,0.232,1,4,91.2,5.2,2119,87,86.97,0,4,12,0,6.31,117,154,122,150,310,329,299,-0.932,0.932,72.3,7.4,6,4,0,0,0,1,0,0,2,33.3,2.88563,0.18188,0.65375,0.65375,93.2,191,50,25,16.666666666666664,5.44,-1.6,0.29,2.08,0.5,1,5.825,0.488,0.487,-5.825,0.018,0.01200000000000001,0.513,0.146,0,21.0,5.46506855111348,5.425947969260177,35.601506635254644,0.75,39.51471339011684,27.236985305663435
15,666619,"Santos, Gregory",26,57.7,0.333,0.333,0.333,0.667,0.497,0.442,0.356,1,3,86.7,4.3,2402,93.3,93.39,0,7,8,0.10000000000000853,6.57,113,153,131,149,291,329,295,-0.463,0.463,77.6,7.6,4,3,0,1,0,0,0,0,1,25,2.338,0.31933,0.13667,0.13667,92.5,152,33.33333333333333,0,0,5.66,-1.64,-0.12,2.51,0.5,0,3.086666667,0.517,0.468,-3.086666667,-0.023,-0.017000000000000015,0.199,0.055,0,28.4,3.1654962113221097,3.129487167036683,26.633794438720233,0.3333333333333333,34.7662211792297,27.48353343783463
15,656288,"Canning, Griffin",73,20.5,0.25,0,0.5,0.25,0.226,0.076,0.085,1,4,81.3,-28.5,2341,89.7,88.98,3,5,10,-0.7000000000000028,5.96,110,150,106,149,309,324,292,0.219,-0.219,70.5,7.5,4,2,1,0,0,0,2,50,0,0,2.80867,0.04643,0.80933,0.80933,88.0,16,0,0,0,5.7,-1.02,0.25,1.8,0.25,0,-1.46,0.085,0.086,1.46,0.165,0.16499999999999998,0.164,0.15,60,41.1,7.3474648949663655,5.204778390890247,28.865102997522445,0.6,39.381353767211316,27.989527638106168
15,641656,"Hamilton, Ian",31,48.4,0,0,0,0,0.236,0.369,0.217,0,2,85.2,-66,1754,89.5,88.35,2,6,9,-1.2000000000000028,5.67,110,140,118,135,309,320,293,0.072,-0.072,64.2,6.8,3,1,0,0,0,0,1,33.3,1,33.3,2.244,0.62867,0.40267,0.40267,88.0,123,0,0,0,5.94,-2.48,0.33,2.22,0.333,0,-0.48,0.478,0.221,0.48,-0.217,-0.14499999999999996,-0.221,-0.133,33.3,38.0,1.5850430262560882,5.969534985090894,35.06182804488023,0.3333333333333333,39.23385972023257,27.427869203697792
14,687377,"Ribalta, Orlando",42,33.3,0.2,0,0.25,0.2,0.181,0.168,0.144,1,5,70.6,8.3,2372,93.8,94.28,2,8,6,0.5,6.54,106,152,122,149,313,322,300,0.508,-0.508,72.1,7.4,5,4,1,0,0,0,1,20,0,0,1.67786,0.93,0.61286,0.61286,89.3,158,25,0,0,6.48,-1.76,-0.08,2.17,0.2,0,-3.628571429,0.144,0.238,3.628571429,0.056,0.05600000000000002,-0.038,0.013,25,44.7,10.179159300873794,-0.5158815524105327,32.298185279453705,0.75,34.28356509441702,31.79301068527817
14,606965,"Devenski, Chris",39,35.9,0.5,0,0.6,0.5,0.451,0.266,0.271,3,6,95,8.8,2039,87,86.93,1,6,8,-0.09999999999999432,6.25,111,146,115,143,309,316,290,-1.023,1.023,70.6,7.7,6,5,3,0,0,0,1,16.7,0,0,2.30714,0.74786,0.79571,0.79571,97.9,100,40,20,16.666666666666664,6.1,-0.27,0.15,2.41,0.5,1,7.307142857,0.271,0.345,-7.307142857,0.229,0.22899999999999998,0.155,0.185,16.7,37.2,7.702690457128681,-2.9986415139616542,32.074404981563795,0.5,38.55348908870135,32.832920286176524
12,671131,"Rutledge, Jackson",44,27.3,0.4,0,0.667,0.4,0.361,0.12,0.128,2,5,80,-4.3,2020,89.6,90.02,5,10,2,0.4000000000000057,6.41,99,148,118,149,328,322,295,-0.179,0.179,73.6,7.8,5,3,2,0,0,0,2,40,0,0,2.23583,0.60333,0.42333,0.42333,96.7,54,33.33333333333333,0,0,6.15,-1.41,0.23,2.11,0.4,0,1.491666667,0.128,0.142,-1.491666667,0.272,0.272,0.258,0.241,50,41.0,12.789219047594443,-6.64294451479927,31.300772381636428,0.4,36.96594527651642,35.97227066927234
12,687473,"Gusto, Ryan",12,100,0,0,0,0,0,0.579,0.397,0,3,103.6,10,2462,90.8,90.42,2,4,8,-0.3999999999999915,6.31,112,154,127,148,303,327,298,0.773,-0.773,64.6,6.8,3,2,0,0,0,0,1,33.3,0,0,1.96083,0.84417,0.03583,0.03583,103.6,190,100,50,33.33333333333333,5.91,-1.63,0.33,1.86,0,1,-6.441666667,0.397,1,6.441666667,-0.397,-0.397,-1,-0.579,50,51.2,3.7252612541682284,5.1419632918524725,30.525506937669785,0.5,36.31429998975578,30.754623600408305
11,642152,"Trivino, Lou",31,35.5,0.5,0,0.5,0.5,0.537,0.44,0.337,1,2,90.8,10.5,2332,92.9,93.23,0,3,8,0.29999999999999716,6.59,103,148,121,144,299,309,292,-0.428,0.428,73.1,7.9,3,2,1,0,0,0,0,0,1,33.3,1.92455,0.74636,0.55,0.55,91.7,143,50,0,0,6.05,-1.37,-0.33,2.28,0.667,0,3.890909091,0.558,0.378,-3.890909091,0.163,0.10899999999999999,0.122,0.097,0,,15.46815842047887,-0.07390809394517994,36.7480005979018,0.6666666666666666,43.62849616807899,25.18615386344378
10,689690,"Jacob, Alek",34,29.4,0,0,0,0,0.354,0.558,0.451,0,1,96.1,0,2219,78.6,79.62,2,3,7,1,7.28,105,153,124,148,301,327,303,-0.005,0.005,74.8,6.9,2,1,0,0,0,0,0,0,1,50,3.086,0.698,1.632,1.632,96.1,42,100,0,0,3.85,-2.17,0.37,2.15,0.5,0,0.05,0.726,0.486,-0.05,-0.451,-0.22599999999999998,-0.486,-0.204,66.7,-1.9,5.598823669811592,14.748515807470186,28.556812147461258,0.5,38.133629245626125,23.460768411706805
