"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
453286,"Scherzer, Max","R",343,141,"33.1",-2.224360550040743,5.696793002915452,-0.31382946321385696,4.450909972560453
500779,"Quintana, Jose","L",328,115,"41.9",1.908509042075959,5.7457317073170735,0.25735103881352983,4.26558881923612
518585,"Cruz, Fernando","R",212,147,"47.9",-1.5242803394231685,6.009811320754717,-0.05818968822520432,4.3824843725826526
518876,"Kelly, Merrill","R",289,109,"24.1",-2.307282068993052,5.440242214532872,-0.26845718995367884,4.525087602464704
519242,"Sale, Chris","L",542,144,"10.6",3.226476094353857,4.841070110701107,0.8527021304865455,4.39514372743059
527048,"Pérez, Martín","L",445,144,"45.4",1.625023502622613,5.630674157303371,0.008092935969076082,3.985491012237377
542888,"Armstrong, Shawn","R",200,114,"41.0",-2.0327892016551994,5.8156,-0.2737815935828877,4.283325482620321
543135,"Eovaldi, Nathan","R",628,140,"36.2",-2.429952190974771,5.676990445859873,-0.47909810378986567,4.248696069348411
543243,"Gray, Sonny","R",388,111,"48.0",-1.274814387839509,5.596546391752577,0.15227647334472685,4.0135514244170025
544150,"Suárez, Albert","R",192,110,"42.7",-1.6458817774496868,6.321875,0.07742251977495544,4.727031834893048
547179,"Lorenzen, Michael","R",530,115,"41.0",-1.7164497294248486,5.767830188679246,0.05101357380688124,4.228526796825077
571510,"Boyd, Matthew","L",336,112,"25.0",2.5698077077062553,5.445654761904762,0.32397597110814025,4.399576887838469
571578,"Corbin, Patrick","L",313,141,"37.7",1.9051366613567162,6.237955271565495,0.03562322472991521,4.792912831377105
571927,"Matz, Steven","L",508,139,"33.9",2.068583035163964,5.762362204724409,0.13131932028717,4.459852232901034
571945,"Mikolas, Miles","R",400,120,"43.8",-1.9077375066994533,6.5755,-0.051969310383244205,4.7936814855169345
571948,"Milner, Hoby","L",214,112,"-4.1",2.906444733036758,4.21570093457944,0.6866162485214987,4.374436579789095
573124,"Rogers, Taylor","L",195,142,"28.6",1.930307083399364,5.591025641025641,-0.11899351569998629,4.472649340920517
579328,"Kikuchi, Yusei","L",538,108,"49.4",1.36826401615299,5.759275092936803,-0.029834720096216925,4.131893929288512
