name,team,k_pct,bb_pct,woba,wrc_plus,iso
Troy Johnston,COL,20.0,7.1,0.336,102,0.15
Mike Yastrzemski,ATL,24.4,10.7,0.306,95,0.156
Jake McCarthy,COL,17.0,6.8,0.322,92,0.126
Jared Triolo,PIT,22.1,9.9,0.303,91,0.11
Taylor Trammell,HOU,28.3,11.8,0.329,112,0.175
Zack Gelof,ATH,30.9,8.1,0.302,89,0.162
Alejandro Osuna,TEX,20.8,10.2,0.323,109,0.124
Brice Matthews,HOU,34.8,9.5,0.307,96,0.174
Edmundo Sosa,PHI,21.2,3.8,0.307,94,0.155
Travis Bazzana,CLE,28.7,11.8,0.299,92,0.14
JJ Bleday,CIN,22.4,11.6,0.334,109,0.214
Casey Schmitt,SFG,21.1,5.8,0.334,116,0.181
Nick Fortes,TBR,15.0,5.0,0.289,83,0.11
Daniel Susac,SFG,26.2,5.0,0.307,99,0.134
Dane Myers,CIN,22.9,9.8,0.323,102,0.125
Jorbit Vivas,WSN,12.8,8.9,0.299,90,0.082
Ryan McMahon,NYY,32.5,11.2,0.283,80,0.142
Jeremiah Jackson,BAL,23.0,3.8,0.304,95,0.175
Ryan Ward,LAD,25.5,7.6,0.31,98,0.198
Jake Cronenworth,SDP,19.9,11.8,0.296,92,0.121
J.C. Escarra,NYY,19.8,8.0,0.296,89,0.145
George Springer,TOR,20.1,10.8,0.331,113,0.175
Griffin Conine,MIA,32.7,9.6,0.315,100,0.171
Eugenio Suarez,CIN,30.8,8.9,0.333,109,0.221
Ezequiel Tovar,COL,26.1,4.9,0.297,75,0.15
Brandon Lockridge,MIL,26.9,9.3,0.295,89,0.083
Tristan Gray,MIN,30.6,6.4,0.301,91,0.172
Logan O'Hoppe,LAA,26.9,8.7,0.299,90,0.144
Tyler Soderstrom,ATH,22.1,9.1,0.324,105,0.197
Kody Clemens,MIN,25.8,7.9,0.306,95,0.194
Jared Young,NYM,23.1,9.7,0.329,115,0.173
Alek Thomas,ARI,22.2,4.9,0.283,78,0.149
Luis Torrens,NYM,22.0,5.6,0.284,84,0.128
Connor Norby,MIA,27.6,7.9,0.317,102,0.159
Kyle Karros,COL,22.9,11.0,0.301,78,0.102
Vinnie Pasquantino,KCR,16.0,10.0,0.318,100,0.192
Andres Chaparro,WSN,23.7,8.2,0.316,102,0.176
Nick Loftin,KCR,14.3,11.2,0.315,98,0.124
Braxton Fulford,COL,27.2,7.0,0.316,89,0.168
Carson Williams,TBR,34.7,7.9,0.284,80,0.165
Brooks Lee,MIN,17.6,6.7,0.301,91,0.147
Ronny Mauricio,NYM,26.5,5.4,0.283,83,0.138
Jahmai Jones,DET,25.1,9.4,0.33,112,0.19
Jeferson Quero,MIL,19.6,7.9,0.293,87,0.142
Alec Bohm,PHI,15.9,6.7,0.289,82,0.122
Royce Lewis,MIN,23.3,8.5,0.311,98,0.177
Sam Huff,BAL,35.3,7.4,0.287,84,0.153
Jasson Dominguez,NYY,25.2,8.9,0.318,105,0.158
Drew Gilbert,SFG,19.6,7.5,0.304,96,0.149
Jonah Heim,ATL,18.6,7.7,0.284,80,0.123
Colton Cowser,BAL,31.3,9.7,0.298,92,0.142
Jonathan India,KCR,19.3,11.4,0.319,101,0.141
Daylen Lile,WSN,18.3,7.3,0.312,100,0.141
