"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Morris, Andrew",702193,"MIN","FF","4-Seam Fastball",2.5,2,"96",36,"23","0.2","0.25","0.211",22.6,26.1,18.2,"0.192","0.248","0.21",25
"Bachar, Lake",669199,"MIA","FF","4-Seam Fastball",-0.4,0,"102",35.2,"23","0.15","0.45","0.304",23.4,17.4,22.2,"0.17","0.368","0.289",50
"Martin, Davis",663436,"CWS","SL","Slider",4.2,4,"88",14,"23","0.087","0.13","0.093",59.6,65.2,44.1,"0.092","0.19","0.119",50
"Misiorowski, Jacob",694819,"MIL","CU","Curveball",0,0,"90",14.1,"23","0.1","0.1","0.209",33.3,34.8,18.2,"0.189","0.236","0.252",33.3
"Brown, Ben",676962,"CHC","SI","Sinker",1.7,2,"93",23.2,"23","0.238","0.238","0.296",10,8.7,16.7,"0.216","0.249","0.247",26.3
"Domínguez, Seranthony",622554,"CWS","FF","4-Seam Fastball",-2.3,-2,"91",35.4,"23","0.2","0.4","0.409",29.7,34.8,26.7,"0.206","0.433","0.419",42.9
"Dollander, Chase",801403,"COL","SL","Slider",1,1,"91",14.5,"23","0.238","0.381","0.302",31.7,21.7,23.8,"0.308","0.467","0.366",75
"Kochanowicz, Jack",686799,"LAA","SL","Slider",2,2,"127",19.2,"23","0.053","0.053","0.136",43.6,30.4,24.1,"0.233","0.418","0.329",38.5
"Suarez, José",660761,"ATL","FF","4-Seam Fastball",-1.7,-2,"131",39.9,"23","0.4","0.467","0.493",21.2,13,7.9,"0.317","0.42","0.451",50
"Suter, Brent",608718,"LAA","SI","Sinker",0.9,1,"92",25.9,"23","0.3","0.4","0.357",21.4,26.1,17.1,"0.224","0.381","0.316",57.1
"Ginkel, Kevin",656464,"AZ","FF","4-Seam Fastball",-0.7,-1,"109",44.1,"23","0.364","0.545","0.407",15.4,26.1,20.7,"0.286","0.474","0.34",62.5
"Harris, Hogan",663687,"ATH","CU","Curveball",-1.4,-1,"87",23.9,"22","0.263","0.421","0.35",30.3,31.8,26.9,"0.29","0.57","0.413",41.7
"Milner, Hoby",571948,"CHC","SI","Sinker",2.1,2,"103",42.7,"22","0.273","0.409","0.295",9.3,0,0,"0.377","0.695","0.455",45.5
"Cabrera, Edward",665795,"CHC","FF","4-Seam Fastball",-0.4,0,"93",14.6,"22","0.235","0.471","0.389",25.7,13.6,13,"0.223","0.507","0.396",42.9
"Miller, Mason",695243,"SD","FF","4-Seam Fastball",1.7,2,"96",41.7,"22","0.211","0.211","0.259",41.2,31.8,26.9,"0.204","0.241","0.264",25
"Bigge, Hunter",685801,"TB","FF","4-Seam Fastball",1.7,1,"85",51.8,"22","0.105","0.263","0.227",19.4,13.6,27.3,"0.213","0.374","0.31",37.5
"Ragans, Cole",666142,"KC","CH","Changeup",-3,-3,"104",17.9,"22","0.318","0.636","0.402",40.4,27.3,18.8,"0.252","0.54","0.332",31.3
"Pfaadt, Brandon",694297,"AZ","CU","Curveball",-0.1,0,"105",22.2,"22","0.167","0.333","0.268",34.9,22.7,16.7,"0.142","0.267","0.269",14.3
"Wacha, Michael",608379,"KC","SI","Sinker",0.2,0,"91",14.2,"22","0.125","0.375","0.339",20,18.2,14.8,"0.259","0.525","0.431",58.3
"Sánchez, Cristopher",650911,"PHI","SL","Slider",-0.6,-1,"122",18.8,"22","0.318","0.5","0.393",34.5,27.3,21.4,"0.303","0.494","0.342",31.3
"Sasaki, Roki",808963,"LAD","SL","Slider",-1.3,-1,"110",20.3,"22","0.25","0.5","0.407",37.3,27.3,26.1,"0.153","0.216","0.287",27.3
"McLean, Nolan",690997,"NYM","ST","Sweeper",-1.6,-2,"94",14.7,"22","0.235","0.235","0.323",21.7,18.2,17.4,"0.184","0.22","0.294",7.7
"Beeter, Clayton",690925,"WSH","FF","4-Seam Fastball",0.3,0,"101",55.8,"22","0.25","0.438","0.373",14.6,9.1,11.8,"0.256","0.46","0.433",66.7
"Junk, Janson",676083,"MIA","CH","Changeup",-0.1,0,"120",20.6,"22","0.273","0.364","0.318",41.2,22.7,15.2,"0.294","0.35","0.281",41.2
"McLean, Nolan",690997,"NYM","FF","4-Seam Fastball",1.5,2,"113",17.7,"22","0.2","0.35","0.277",23.1,27.3,20,"0.239","0.416","0.317",57.1
"Williams, Devin",642207,"NYM","FF","4-Seam Fastball",0.4,0,"113",51.8,"22","0.278","0.389","0.348",37.3,36.4,30.8,"0.163","0.227","0.245",36.4
"Phillips, Tyler",663969,"MIA","ST","Sweeper",3.8,4,"94",25.5,"22","0.143","0.19","0.17",34.4,31.8,36.8,"0.135","0.234","0.181",28.6
"Ray, Robbie",592662,"SF","CH","Changeup",3,3,"89",13.1,"22","0.143","0.333","0.231",29.8,27.3,22.2,"0.163","0.37","0.246",20
"Cantillo, Joey",676282,"CLE","CU","Curveball",-0.3,0,"96",16.3,"22","0.3","0.3","0.309",31.4,36.4,24.2,"0.239","0.266","0.265",33.3
"Romano, Jordan",605447,"LAA","FF","4-Seam Fastball",0.2,0,"94",49,"21","0.267","0.333","0.388",17.1,19,11.8,"0.211","0.323","0.364",45.5
"Webb, Logan",657277,"SF","ST","Sweeper",-0.4,-1,"139",20.8,"21","0.333","0.444","0.39",15.8,28.6,23.1,"0.297","0.505","0.392",41.7
"Soto, Gregory",642397,"PIT","SI","Sinker",2.3,2,"105",39.9,"21","0.211","0.263","0.255",5.9,4.8,16.7,"0.274","0.331","0.306",27.8
"Varland, Louis",686973,"TOR","CU","Curveball",-2.3,-2,"88",29.8,"21","0.4","0.45","0.393",40.9,38.1,25.8,"0.263","0.315","0.276",58.3
"Ohtani, Shohei",660271,"LAD","ST","Sweeper",2.2,2,"102",21.6,"21","0.167","0.278","0.262",42.2,33.3,25,"0.119","0.133","0.194",0
"Gilbert, Logan",669302,"SEA","CU","Curveball",0,0,"93",12.7,"21","0.238","0.381","0.307",30.2,19,14.8,"0.315","0.513","0.355",29.4
"Leahy, Kyle",681517,"STL","SL","Slider",-0.3,0,"92",15.5,"21","0.368","0.474","0.4",15.6,9.5,20,"0.347","0.422","0.367",35.3
"Phillips, Tyler",663969,"MIA","FS","Split-Finger",2.5,2,"88",23.9,"21","0.105","0.105","0.195",46.2,42.9,29,"0.141","0.211","0.203",20
"Sterner, Justin",686993,"ATH","ST","Sweeper",1.5,1,"85",27.8,"21","0.1","0.25","0.171",44.7,42.9,25,"0.146","0.183","0.169",36.4
"Hoffman, Jeff",656546,"TOR","FF","4-Seam Fastball",-1.7,-2,"95",34.1,"21","0.353","0.706","0.462",34,42.9,26.5,"0.191","0.452","0.379",44.4
"Houser, Adrian",605288,"SF","CH","Changeup",-1.2,-1,"112",22.6,"21","0.286","0.429","0.35",34.9,19,11.4,"0.247","0.377","0.267",41.2
"Winn, Cole",668390,"TEX","FF","4-Seam Fastball",-0.2,0,"86",35.1,"20","0.2","0.4","0.365",30.4,40,25,"0.155","0.375","0.341",71.4
"Imanaga, Shota",684007,"CHC","ST","Sweeper",1.6,2,"99",15.3,"20","0.2","0.3","0.215",42.6,40,25,"0.162","0.217","0.162",25
"Anderson, Grant",681982,"MIL","FF","4-Seam Fastball",1.1,1,"93",37.8,"20","0.176","0.294","0.275",22.4,20,11.1,"0.212","0.324","0.3",46.2
"Walker, Taijuan",592836,"PHI","SI","Sinker",-3.9,-4,"96",22.6,"20","0.375","0.625","0.483",13.3,20,14.3,"0.239","0.44","0.371",41.7
