"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rogers, Trevor",669432,"BAL","CH","Changeup",-1.6,-2,"135",25.2,"39","0.297","0.405","0.383",29.3,17.9,16.3,"0.287","0.386","0.313",33.3
"Burrows, Mike",681347,"HOU","CH","Changeup",0.6,1,"140",25.8,"39","0.2","0.257","0.251",38.6,28.2,24.4,"0.177","0.247","0.235",29.2
"Mize, Casey",663554,"DET","FF","4-Seam Fastball",-1.6,-3,"157",33.2,"39","0.273","0.485","0.403",24.6,25.6,22.7,"0.245","0.467","0.363",47.8
"Martinez, Nick",607259,"TB","CH","Changeup",3,4,"143",27.7,"39","0.083","0.111","0.117",34.3,23.1,15.8,"0.13","0.168","0.159",14.3
"Williamson, Brandon",682227,"CIN","FC","Cutter",-0.2,0,"137",26.4,"39","0.31","0.448","0.406",20,17.9,28,"0.266","0.469","0.397",56.5
"McGreevy, Michael",700241,"STL","FF","4-Seam Fastball",0.4,1,"137",26,"39","0.184","0.368","0.245",9.9,12.8,11.6,"0.318","0.656","0.418",39.4
"Baz, Shane",669358,"BAL","FC","Cutter",3.7,5,"123",21.6,"39","0.143","0.286","0.233",22.1,17.9,26.9,"0.2","0.304","0.267",32.1
"Bassitt, Chris",605135,"BAL","CU","Curveball",0.7,1,"134",25.1,"38","0.242","0.273","0.296",27.5,13.2,12.2,"0.302","0.366","0.326",13.8
"Soriano, José",667755,"LAA","CU","Curveball",2.3,4,"173",26.1,"38","0.167","0.25","0.195",48.8,52.6,31.7,"0.189","0.268","0.21",23.5
"Lopez, Jacob",682052,"ATH","FF","4-Seam Fastball",-1.3,-2,"156",32.8,"38","0.313","0.469","0.368",15.2,10.5,11.8,"0.182","0.266","0.244",33.3
"Ashcraft, Braxton",677952,"PIT","FF","4-Seam Fastball",0.9,2,"165",31.6,"38","0.219","0.438","0.314",18.3,15.8,17.6,"0.18","0.393","0.303",32.1
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.4,2,"163",57.6,"38","0.182","0.273","0.262",23.8,34.2,21.3,"0.133","0.245","0.231",40
"Williams, Gavin",668909,"CLE","CU","Curveball",-1,-1,"128",19.4,"38","0.184","0.368","0.257",25,34.2,21.3,"0.191","0.417","0.256",45.8
"Cameron, Noah",702070,"KC","FF","4-Seam Fastball",-0.3,0,"159",31.5,"38","0.306","0.444","0.368",20,15.8,16.2,"0.315","0.596","0.402",53.3
"Civale, Aaron",650644,"ATH","FC","Cutter",1.7,3,"172",32.8,"38","0.273","0.333","0.324",25.3,13.2,11.6,"0.265","0.409","0.344",53.6
"Littell, Zack",641793,"WSH","FF","4-Seam Fastball",-5.8,-7,"114",24.1,"38","0.394","0.788","0.525",5.1,5.3,8.3,"0.325","0.647","0.448",54.8
"Meyer, Max",676974,"MIA","ST","Sweeper",0.9,1,"132",26,"38","0.206","0.265","0.258",34.8,34.2,21.7,"0.226","0.376","0.303",33.3
"Okert, Steven",595345,"HOU","SL","Slider",0.3,0,"152",67.9,"38","0.212","0.364","0.283",26.6,15.8,12.2,"0.225","0.434","0.309",13.8
"Early, Connelly",813349,"BOS","FF","4-Seam Fastball",0.9,2,"179",33.2,"38","0.206","0.353","0.287",20.5,15.8,12.8,"0.255","0.567","0.384",53.6
"Pallante, Andre",669467,"STL","SI","Sinker",-2.3,-2,"110",20.4,"37","0.281","0.406","0.377",15,10.8,12.5,"0.269","0.407","0.347",14.3
"Paddack, Chris",663978,"MIA","FF","4-Seam Fastball",-0.8,-1,"160",31.3,"37","0.364","0.455","0.389",18.2,18.9,12.1,"0.261","0.405","0.32",40.7
"Hill, Tim",657612,"NYY","SI","Sinker",6,7,"114",80.9,"37","0.086","0.086","0.111",13.3,8.1,10.7,"0.211","0.245","0.229",46.9
"Kochanowicz, Jack",686799,"LAA","CH","Changeup",-0.8,-1,"138",25.1,"37","0.219","0.281","0.332",32.9,24.3,20.5,"0.219","0.281","0.282",26.1
"Woods Richardson, Simeon",680573,"MIN","FS","Split-Finger",-5.3,-8,"143",28.4,"37","0.333","0.576","0.446",22.6,16.2,10.3,"0.282","0.487","0.368",37
"Sugano, Tomoyuki",608372,"COL","FS","Split-Finger",3.2,4,"118",23,"37","0.139","0.25","0.161",31.7,21.6,19.5,"0.241","0.393","0.279",24.1
"Pérez, Martín",527048,"ATL","SI","Sinker",0.5,1,"139",31.2,"37","0.226","0.387","0.332",5.6,8.1,8.3,"0.316","0.578","0.431",50
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",-0.8,-1,"163",30.2,"37","0.333","0.567","0.445",15.9,5.4,7.7,"0.336","0.617","0.461",57.1
"Keller, Mitch",656605,"PIT","ST","Sweeper",-0.9,-1,"101",19.7,"37","0.156","0.281","0.236",26,24.3,18,"0.183","0.265","0.246",25
"Walker, Taijuan",592836,"PHI","FS","Split-Finger",-4,-4,"98",23.1,"37","0.361","0.583","0.449",19,13.5,17.2,"0.358","0.627","0.428",45.2
"King, Michael",650633,"SD","SI","Sinker",-0.2,0,"154",27.8,"37","0.226","0.484","0.386",15.2,21.6,22.9,"0.292","0.549","0.413",52.2
"Márquez, Germán",608566,"SD","CU","Curveball",1.1,2,"164",40.4,"37","0.189","0.297","0.209",30.4,24.3,16.7,"0.212","0.315","0.226",42.9
"Mikolas, Miles",571945,"WSH","FF","4-Seam Fastball",-2.5,-3,"123",25.7,"37","0.323","0.581","0.459",20.3,18.9,20.6,"0.263","0.541","0.399",62.5
"Pomeranz, Drew",519141,"LAA","FF","4-Seam Fastball",-4.8,-6,"124",67.8,"37","0.364","0.818","0.51",21.2,13.5,20.8,"0.288","0.622","0.408",41.4
"Peralta, Freddy",642547,"NYM","CU","Curveball",-0.8,-1,"109",16.7,"37","0.235","0.471","0.33",38.2,35.1,26.5,"0.213","0.348","0.277",42.9
"Gilbert, Logan",669302,"SEA","SL","Slider",0,0,"126",19.6,"37","0.281","0.5","0.362",37.3,18.9,18.4,"0.303","0.427","0.348",61.5
"Zerpa, Angel",672582,"MIL","SI","Sinker",-0.5,-1,"147",68.1,"36","0.3","0.467","0.383",19.3,16.7,15,"0.338","0.489","0.407",52
"Ashcraft, Graham",668933,"CIN","FC","Cutter",-1.2,-2,"134",54.3,"36","0.345","0.552","0.5",20,8.3,7.7,"0.286","0.439","0.395",38.5
"Singer, Brady",663903,"CIN","SL","Slider",1.5,2,"159",31.4,"36","0.212","0.212","0.24",28.6,19.4,18.9,"0.218","0.315","0.268",42.3
"deGrom, Jacob",594798,"TEX","SL","Slider",2.3,4,"151",29,"36","0.147","0.147","0.189",37.8,44.4,19.8,"0.191","0.23","0.212",27.8
